Comment,Designator,Footprint,LCSC Part Number,Quantity
D_Small,"D44,D9,D28,D4,D1,D23,D45,D43,D38,D16,D11,D26,D13,D39,D5,D19,D22,D36,D27,D21,D14,D37,D30,D35,D10,D12,D18,D34,D3,D48,D31,D42,D32,D25,D24,D41,D40,D8,D47,D33,D20,D29,D2,D15,D17,D6,D7,D46",D_SOD-123,C81598,48
100n,"C10,C14,C4,C8,C12,C11,C13,C9,C7",C_0402_1005Metric,C307331,9
1M,R3,R_0402_1005Metric,C26083,1
1k,"R8,R5",R_0402_1005Metric,C11702,2
27p,"C6,C5",C_0402_1005Metric,C1557,2
XC6206-3.3_SOT23,U1,SOT-23,C5446,1
SW_SPST,"SW1,SW2",SW_SPST_TL3342,C318884,2
500mA,F1,Fuse_1206_3216Metric,C70076,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
27,"R6,R7",R_0402_1005Metric,C25092,2
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
5.1k,"R2,R9,R1",R_0402_1005Metric,C25905,3
10u,"C1,C2,C15",C_0402_1005Metric,C15525,3
1u,"C18,C17",C_0402_1005Metric,C52923,2
SRV05-4,U4,SOT-23-6-routable,C85364,1
-10k,R4,R_0603_1608Metric,,1
RP2040TR7,U3,QFN40P700X700X90-57N,C2040,1
4.7n,C3,C_0402_1005Metric,C1538,1
